CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,
4,Afghanistan,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",2676.9,2493.6,1426.5,1375.1,1320.1,1268.8,1199.1,1114.8,1056.1,832.4,781.1,645.4,894.7,1037.8,957.1,1338.5,1657.5,2280.9,4217.1,6776.6,8470.8,12251.4, , , , , 
8,Albania,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",7488.0,3971.4,2387.2,2343.2,1928.8,2086.5,2016.9,1543.8,1752.8,2984.9,3021.6,3223.3,3751.3,4294.1,4165.7,4253.7,3865.0,4477.4,4657.1,4488.4,4415.1,4668.1, , , , , 
12,Algeria,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",78924.8,81220.4,81935.4,82294.8,86500.9,95345.7,97131.5,88195.0,107080.1,92118.7,87931.0,84293.3,90853.6,92533.1,89493.1,107127.7,100919.5,109294.9,111575.8,121374.0,119276.5,121755.4, , , , , 
16,American Samoa,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,Andorra,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , ,407.0,425.4,458.4,484.0,513.4,524.4,524.4,531.7,535.4,564.7,575.7,546.4,539.0,539.0,517.0,517.0,491.4, , , , , 
24,Angola,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",4429.7,4367.4,4418.7,5801.2,3890.7,11012.0,10491.3,7381.7,7308.3,9156.5,9541.5,9732.2,12665.8,9064.8,18793.4,19156.4,22266.0,25152.0,27172.5,29361.7,29743.0,29710.0, , , , , 
660,Anguilla,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , ,44.0,47.7,51.3,62.3,95.3,95.3,102.7,121.0,128.3,143.0,150.3,150.3,146.7,150.3,143.0, , , , , 
28,Antigua and Barbuda,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",300.7,289.7,289.7,304.4,311.7,322.7,322.7,337.4,333.7,348.4,344.7,344.7,363.0,388.7,407.0,410.7,425.4,469.4,480.4,509.7,524.4,513.4, , , , , 
32,Argentina,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",112613.6,117021.3,121447.4,118609.1,123350.5,122547.5,129217.7,134677.9,137673.8,145488.2,141076.8,132631.7,123266.2,133126.8,156170.2,160952.0,174237.5,179738.0,191578.7,180654.8,179000.9,190034.9, , , , , 
51,Armenia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , ,4052.0,2896.9,2966.6,3491.0,2607.2,3278.3,3406.6,3058.3,3465.3,3542.3,3043.6,3428.6,3645.0,4352.7,4382.1,5064.1,5559.2,4360.1,4217.1,4961.5, , , , , 
533,Aruba,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1840.8,1928.8,1723.5,1771.2,1763.8,1782.2,1800.5,1837.2,1712.5,1749.2,2321.2,2357.9,2372.5,2416.6,2420.2,2497.2,2497.2,2592.6,2508.2,2522.9,2456.9,2438.6, , , , , 
36,Australia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",263848.0,261574.4,268068.7,277478.2,278204.3,281941.0,302241.5,305838.8,316964.5,325380.2,329480.0,324877.9,341390.4,336355.6,342776.5,350268.2,357946.9,363795.7,376197.5,382464.4,368170.5,369039.5, , , , , 
40,Austria,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",57722.2,61638.6,56688.2,57135.5,57095.2,59827.1,63226.4,62705.7,63717.8,61917.3,62188.7,65786.0,66977.8,72074.9,72272.9,74278.8,72214.2,69724.3,68752.6,63483.1,67975.2,65202.9, , , , , 
31,Azerbaijan,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , ,57678.2,49365.2,42672.9,33479.7,31510.5,29809.0,31675.5,28576.9,29508.3,28771.3,29614.7,30615.8,32089.9,34337.8,39167.2,30509.4,35503.9,31902.9,30678.1,33457.7, , , , , 
44,Bahamas,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1950.8,1782.2,1793.2,1701.5,1686.8,1683.2,1668.5,1364.1,1679.5,1675.8,1668.5,1569.5,1576.8,1518.1,1723.5,1598.8,1521.8,1547.5,1045.1,1642.8,2464.2,1906.8, , , , , 
48,Bahrain,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",12665.8,12335.8,11455.7,15702.1,15969.8,16021.1,15621.4,17319.2,18404.7,18019.6,18643.0,13927.3,15698.4,16468.5,17509.9,19207.7,18830.0,22013.0,24011.5,21705.0,23252.4,23439.5, , , , , 
50,Bangladesh,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",15533.4,15940.4,17748.3,17407.2,18969.4,22816.1,24029.9,25063.9,24048.2,25236.3,27869.2,32456.6,33707.1,33883.1,39750.3,37553.7,48136.7,46886.3,49581.5,52790.1,56152.8,57069.5, , , , , 
52,Barbados,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1074.4,1206.4,979.1,1114.8,748.1,828.7,850.7,902.1,1140.4,1210.1,1188.1,1221.1,1228.4,1268.8,1294.5,1353.1,1371.5,1430.1,1628.1,1624.5,1518.1,1565.8, , , , , 
112,Belarus,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , ,87487.3,74451.1,65914.3,62119.0,60157.1,59519.1,57597.6,55819.1,53468.5,52595.8,52390.4,53721.6,58037.6,59064.4,61829.3,60281.8,62815.7,60292.8,62221.7,63303.4, , , , , 
56,Belgium,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",106049.6,110959.8,111968.2,107652.1,112334.9,112327.5,118059.1,115341.8,118374.4,115085.1,114894.4,114315.1,107098.4,114564.4,110908.4,108297.5,106775.7,103215.0,103882.4,104021.8,109093.3,97765.9, , , , , 
84,Belize,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",311.7,359.4,355.7,377.7,374.0,377.7,308.0,388.7,370.4,601.4,689.4,711.4,366.7,385.0,396.0,414.4,432.7,458.4,451.0,469.4,553.7,550.1, , , , , 
204,Benin,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",715.1,828.7,905.7,1133.1,1265.1,1327.5,1265.1,1217.4,1213.8,1562.1,1598.8,1815.2,2079.2,2354.2,2508.2,2394.6,3872.4,4495.7,4488.4,4752.4,5152.1,4987.1, , , , , 
60,Bermuda,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",597.7,509.7,407.0,480.4,473.0,465.7,476.7,476.7,462.0,495.0,495.0,495.0,524.4,509.7,671.1,443.7,520.7,517.0,388.7,465.7,476.7,392.4, , , , , 
64,Bhutan,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",128.3,187.0,216.4,187.0,212.7,249.4,304.4,396.0,385.0,385.0,399.7,388.7,418.0,377.7,308.0,396.0,392.4,392.4,421.7,388.7,487.7,561.1, , , , , 
68,Bolivia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",5526.2,5797.5,6673.9,8063.7,8936.5,9460.9,10014.6,11026.7,11455.7,11243.0,10223.6,9823.9,9567.2,14129.0,13083.9,12068.1,14730.3,12445.8,13556.9,14246.3,15350.1,16120.1, , , , , 
70,Bosnia and Herzegovina,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , ,4136.4,2948.3,3230.6,3428.6,4257.4,8393.8,10594.0,10377.6,13787.9,13362.5,14301.3,14488.3,15610.4,16204.5,17564.9,17590.6,20087.8,20615.9,21147.6,23747.5, , , , , 
72,Botswana,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",2178.2,2148.9,3274.6,3498.3,3494.7,3524.0,3139.0,3212.3,3832.0,3546.0,4275.7,4334.4,4484.7,4264.7,4378.4,4616.8,4646.1,4701.1,4979.8,4400.4,5232.8,4855.1, , , , , 
76,Brazil,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",208887.0,219330.6,220705.7,230738.6,242154.0,258347.5,284782.9,300547.3,312289.1,320173.1,327983.8,337433.7,332266.9,321621.6,337826.0,347308.9,347668.3,363212.7,387675.2,367147.4,419754.2,439412.9, , , , , 
92,British Virgin Islands,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",66.0,66.0,69.7,73.3,80.7,84.3,95.3,99.0,102.7,102.7,102.7,106.3,113.7,121.0,124.7,132.0,143.0,150.3,161.3,165.0,172.3,176.0, , , , , 
96,Brunei Darussalam,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",6211.9,5548.2,5504.2,5273.1,5001.8,5097.1,5170.5,5361.2,5570.2,4231.7,6105.6,5753.5,4855.1,4877.1,4847.8,4620.4,4272.1,9053.8,10029.2,8573.4,8602.8,9743.2, , , , , 
100,Bulgaria,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",75763.9,58177.0,54458.6,68077.9,54344.9,58004.6,56559.8,51616.7,48998.5,43982.0,43531.0,46453.6,44634.7,47308.0,46787.3,47909.4,48943.4,52188.7,50791.6,42654.5,44128.7,49339.5, , , , , 
854,Burkina Faso,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",586.7,627.1,630.7,627.1,645.4,627.1,707.7,806.7,861.7,931.4,1041.4,997.4,1004.8,1078.1,1103.8,1125.8,1360.5,1646.5,1697.8,1664.8,1683.2,1932.5, , , , , 
108,Burundi,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",293.4,337.4,308.0,326.4,333.7,322.7,319.0,304.4,293.4,286.0,289.7,205.4,212.7,161.3,198.0,154.0,187.0,187.0,190.7,190.7,194.4,209.0, , , , , 
116,Cambodia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",451.0,462.0,476.7,476.7,539.0,1551.1,1617.1,1540.1,1950.8,1895.8,1976.5,2251.5,2207.5,2379.9,2445.9,2775.9,2999.6,3483.7,3975.0,4132.7,4187.7,4495.7, , , , , 
120,Cameroon,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1738.2,1111.1,3795.3,3898.0,3817.3,4363.7,4602.1,3216.0,3208.6,3080.3,3432.3,3421.3,3417.6,3795.3,3956.7,3696.3,3861.4,5834.2,5544.5,6673.9,6706.9,5661.8, , , , , 
124,Canada,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",435181.2,426780.1,440608.4,445665.2,456955.9,467527.8,479463.9,494601.3,506456.7,515462.9,534483.6,527927.0,519335.2,553185.3,552349.2,563071.5,550233.4,560801.6,544105.8,507424.8,496104.8,485463.1, , , , , 
132,Cape Verde,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",88.0,91.7,102.7,102.7,110.0,113.7,139.3,143.0,154.0,172.3,187.0,209.0,245.7,253.0,264.0,293.4,308.0,370.4,286.0,304.4,293.4,425.4, , , , , 
136,Cayman Islands,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",253.0,275.0,311.7,333.7,366.7,366.7,388.7,407.0,425.4,421.7,454.7,454.7,469.4,480.4,462.0,480.4,484.0,583.1,594.1,561.1,564.7,583.1, , , , , 
140,Central African Republic,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",198.0,205.4,216.4,223.7,234.7,234.7,234.7,245.7,249.4,264.0,267.7,245.7,245.7,234.7,212.7,212.7,227.4,234.7,234.7,234.7,264.0,286.0, , , , , 
148,Chad,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",146.7,69.7,88.0,99.0,102.7,102.7,106.3,113.7,113.7,121.0,176.0,172.3,168.7,381.4,377.7,399.7,407.0,462.0,509.7,491.4,517.0,539.0, , , , , 
830,Channel Islands,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , , , , , , , 
152,Chile,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",33314.7,31323.5,32475.0,34627.5,38103.8,41745.1,48499.7,56394.8,57641.6,61513.9,58815.0,53549.2,55335.0,55602.7,60054.5,61818.3,64814.2,71638.5,71851.2,66805.4,72258.2,79408.9, , , , , 
156,China,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",2460744.0,2584538.3,2695982.1,2878694.0,3058241.3,3320285.2,3463089.1,3469510.0,3324344.5,3318055.6,3405179.9,3487566.4,3694242.1,4525177.0,5288166.0,5790017.0,6414463.1,6791804.7,7035443.9,7692210.9,8256969.2,9019518.2, , , , , 
344,"China, Hong Kong Special Administrative Region",749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",27660.2,28892.3,33428.4,35129.9,31429.9,31620.5,29365.3,30854.1,39233.2,42753.6,40465.3,37971.8,36952.4,40065.6,38415.5,40546.0,38554.8,39963.0,38573.2,36996.4,36288.6,40274.7, , , , , 
446,"China, Macao Special Administrative Region",749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1034.1,1092.8,1085.4,1188.1,1283.5,1243.1,1415.5,1499.8,1565.8,1532.8,1635.5,1686.8,1525.5,1536.5,1727.2,1837.2,1631.8,1543.8,1338.5,1455.8,1199.1,1166.1, , , , , 
170,Colombia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",57337.2,57120.9,62049.3,64022.2,67571.8,59614.4,60527.5,64909.6,65976.7,56512.1,57923.9,56273.8,55661.4,57421.6,55071.0,60945.5,62940.4,62430.7,65158.9,67432.5,78583.8,72423.3, , , , , 
