CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,
4,Afghanistan,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.0,,,,381.9,381.9,381.9,0.9,0.9,0.9,,,,181.5,145.4,99.4,61.3,47.9,49.2,24.9,24.0,17.3,17.7, , , 
8,Albania,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.0,,,,43.4,43.2,45.2,49.6,56.2,65.1,70.2,50.5,38.0,36.6,14.3,15.2,6.6,4.1,5.4,6.5,6.5,6.6,5.7, , , 
12,Algeria,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.6,,2364.8,2343.9,2520.9,2654.5,2009.5,1784.5,1737.5,1704.5,1226.1,1966.1,1966.1,1142.2,956.2,428.7,318.1,272.5,174.4,65.7,69.1,58.4,52.0, , , 
16,American Samoa,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,Andorra,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.0,,,,,,,,,,,,,,,,,,1.9,0.0,0.0,0.0,0.0, , , 
24,Angola,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.0,,,,114.8,114.8,114.8,115.9,,107.0,119.8,110.0,109.7,82.2,59.2,42.1,17.0,20.2,35.3,12.7,11.6,6.6,15.4, , , 
660,Anguilla,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,Antigua and Barbuda,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,425.5,430.2,432.9,428.5,12.9,11.9,10.7,10.3,27.7,-1.6,5.1,3.3,4.0,1.7,2.6,1.7,1.6,0.9,0.3,0.5,0.1,0.4,0.1,0.2, , , 
32,Argentina,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,1514.5,9918.8,10096.6,4380.5,7082.1,10052.5,4949.6,4383.6,4375.0,4957.0,3383.0,3841.4,2386.0,2835.5,2784.1,2208.6,2215.5,1199.7,654.8,395.4,780.8,831.2,855.3,497.7, , , 
51,Armenia,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.0,,,,201.8,196.5,191.2,185.9,9.8,25.7,164.4,174.4,174.4,114.6,87.0,62.8,29.4,18.4,24.9,7.1,7.5,5.7,4.5, , , 
533,Aruba,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
36,Australia,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,7434.4,8147.8,7017.5,4615.7,4242.1,3120.4,826.9,602.9,770.7,831.9,484.6,360.8,389.7,278.9,189.8,171.0,69.4,86.6,68.4,57.2,-6.4,46.8,-33.5,48.3, , , 
40,Austria,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,2004.4,1896.7,1710.2,677.9,1005.4,,,,,,,, , , , , , , , , , , , , , , 
31,Azerbaijan,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,2.8,,,,,962.9,227.5,152.4,100.7,88.2,52.1,12.1,10.2,15.1,21.9,0.9,0.8,0.8,3.5,0.3,7.6,3.5,1.8, , , 
44,Bahamas,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.0,2.4,65.8,68.1,69.9,72.0,54.8,59.4,60.4,70.3,68.9,58.4,35.1,23.8,18.6,8.9,5.8,3.9,3.5,6.1,3.1,2.7,2.7, , , 
48,Bahrain,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,178.8,161.1,230.8,187.0,200.9,209.5,234.2,258.7,221.1,186.4,178.2,149.3,138.1,125.8,85.3,85.7,61.1,43.4,50.5,55.6,58.7,57.3,75.6,49.6, , , 
50,Bangladesh,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,202.1,94.9,216.3,229.2,195.4,291.3,633.7,840.8,840.6,814.8,816.4,826.9,350.1,340.6,310.1,277.5,217.5,192.7,223.1,195.9,125.5,136.4,66.5,64.9, , , 
52,Barbados,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,25.5,28.9,24.5,36.2,37.0,26.4,24.2,19.1,25.2,22.5,9.8,14.2,12.1,11.5,16.7,9.3,10.5,4.8,3.6,5.1,2.3,2.7,2.7,2.3, , , 
112,Belarus,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,1554.3,1451.2,1161.9,1161.5,1007.3,595.3,599.8,418.4,278.9,208.3,16.8,9.3,2.7,4.5,3.1,0.6,1.3,0.8,0.4,10.4,10.0,9.0,8.1,7.0, , , 
56,Belgium,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,,,,,,,,, , ,, , , , , , , , , , , , , , , 
84,Belize,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.0,,,,22.9,25.0,27.2,25.7,51.5,15.7,28.8,21.7,15.1,12.2,9.6,3.9,3.2,1.8,2.5,3.1,1.9,2.6,2.4, , , 
204,Benin,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,60.8,40.3,47.0,48.8,48.8,73.5,59.0,60.3,54.9,57.3,55.2,54.5,36.0,17.8,11.8,10.3,32.6,27.9,26.9,27.1,24.0,23.8,23.3,22.2, , , 
60,Bermuda,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
64,Bhutan,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.0,,,,0.1,0.2,1.0,0.0,0.0,0.0,,,,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.3, , , 
68,Bolivia,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,15.9,,,76.7,82.3,92.5,60.7,77.1,74.2,80.7,80.2,67.4,35.2,45.8,29.6,36.4,6.6,8.6,4.4,7.7,7.5,6.8,0.4, , , 
70,Bosnia and Herzegovina,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,14.0,159.3,22.5,18.0,9.9,9.5,29.0,65.3,50.3,159.4,185.0,214.3,259.2,247.6,202.1,61.7,36.6,27.6,16.4,5.8,3.5,3.4,4.1,5.1, , , 
72,Botswana,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.0,21.6,36.8,10.8,15.3,6.7,17.3,2.6,2.6,6.6,10.7,10.2,8.2,5.6,5.3,7.9,11.1,13.6,11.0,11.0,10.9,10.8,10.8, , , 
76,Brazil,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,39337.3,9246.0,26560.4,32578.2,11584.3,13346.5,11545.8,4568.6,10422.7,13131.2,11378.7,7412.2,3589.4,4485.4,3150.4,2075.9,1335.5,1508.6,1305.4,1462.4,1207.2,1046.4,1387.9,1189.3, , , 
92,British Virgin Islands,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
96,Brunei Darussalam,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.0,60.9,83.3,65.7,67.3,81.8,92.5,65.0,37.7,47.8,33.1,46.3,33.7,63.3,41.6,28.6,10.4,7.6,5.8,6.9,8.1,5.9,4.3, , , 
100,Bulgaria,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,2353.6,1957.1,1637.6,735.6,739.7,372.1,17.7,1.6,39.0,41.8,19.7,22.7,23.8,13.1,16.5,15.6,10.6, , , , , , , , , , 
854,Burkina Faso,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,31.3,32.8,40.0,41.7,37.5,45.3,41.8,37.6,37.0,30.6,34.9,29.9,27.9,25.0,24.6,22.4,21.6,23.0,23.3,26.7,31.0,27.9,26.6,14.9, , , 
108,Burundi,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,43.0,45.6,48.2,,,56.2,58.8,62.0,64.5,59.7,53.9,46.6,19.2,9.2,4.9,8.5,8.9,8.9,7.3,7.3,7.4,7.0,7.0,7.1, , , 
116,Cambodia,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.0,,,,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,89.9,74.6,50.8,34.6,19.9,9.3,17.1,12.8,13.7,10.1,9.5, , , 
120,Cameroon,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,125.1,118.6,103.1,213.7,213.7,282.6,333.5,285.3,337.6,403.7,408.9,403.8,261.7,233.6,160.0,141.0,128.7,42.7,36.1,102.7,67.4,65.8,62.8,82.3, , , 
124,Canada,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,9919.8,9286.9,8643.0,4534.2,4051.2,4809.0,952.1,1012.5,935.5,873.6,953.1,924.8,923.1,832.6,602.8,594.1,576.4,559.4,509.9,274.4,65.2,57.9,61.8,65.9, , , 
132,Cape Verde,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,2.2,2.1,2.2,2.3,2.3,2.4,2.3,2.2,2.1,2.0,1.9,1.9,1.8,1.8,1.5,0.9,0.2,0.2,0.2,1.8,0.3,0.3,0.2,0.2, , , 
136,Cayman Islands,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
140,Central African Republic,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,42.8,44.5,32.2,32.2,28.2,6.5,0.0,7.3,1.5,4.5,4.2,4.6,4.3,4.1,2.9,2.3,1.6,6.7,11.9,12.1,12.0,11.8,, , , 
148,Chad,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,26.1,28.5,30.1,31.5,31.9,33.2,35.0,36.3,38.1,37.6,36.6,31.8,27.3,22.9,14.4,11.6,9.2,5.2,21.5,26.9,6.2,17.0,16.5,15.2, , , 
830,Channel Islands,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
152,Chile,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,1015.5,1049.8,922.9,1263.8,1112.3,1164.4,1168.4,856.8,1089.4,815.8,880.9,770.3,591.9,744.5,572.5,469.2,435.1,270.2,304.0,262.1,261.7,275.3,272.4,241.9, , , 
156,China,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,59674.0,70285.1,102771.7,113707.8,93690.7,110469.1,82456.5,90511.1,166990.8,100344.6,90877.7,66823.4,47804.1,56961.9,35486.3,31160.1,30027.6,25189.9,17386.3,20371.2,21388.2,21299.4,21521.6,15690.6, , , 
344,"China, Hong Kong Special Administrative Region",753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
446,"China, Macao Special Administrative Region",753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
170,Colombia,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,2152.7,1877.4,66.0,,2224.1,2685.7,2837.2,2223.0,1262.1,1021.9,1155.8,1275.9,1002.2,1168.7,1023.9,709.3,821.6,469.9,414.8,320.9,241.5,217.4,285.5,176.7, , , 
174,Comoros,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,1.3,,,,2.3,2.3,2.9,3.6,2.6,2.8,2.0,1.9,1.3,1.2,1.0,0.9,0.4,0.1,0.1,0.1,0.1,0.1,0.1, , , 
178,Congo,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,82.4,,,27.7,21.1,18.9,16.3,15.1,16.0,29.1,15.8,11.2,13.1,11.2,10.7,10.9,9.7,10.3,9.9,10.6,10.6,9.9,9.4, , , 
184,Cook Islands,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,0.1,,,,2.5,1.7,1.2,0.5,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0, , , 
188,Costa Rica,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,549.3,489.6,221.5,488.3,410.7,780.1,504.1,238.6,610.4,504.5,542.2,425.4,492.2,409.1,364.4,317.2,281.8,237.0,211.5,180.9,127.9,106.3,12.6, , , 
384,Cote d'Ivoire,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,276.5,,223.3,355.2,371.5,394.5,157.7,288.2,174.0,225.4,173.4,121.2,104.6,122.3,116.2,135.0,103.3,77.3,73.7,65.9,59.3,56.7,54.2, , , 
191,Croatia,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,928.4,790.8,882.9,848.5,590.6,438.3,248.0,314.3,120.1,169.9,188.3,142.5,172.3,98.0,87.3,54.2,-32.9,2.2,7.7,5.0,3.4,4.8,3.6, , , , 
192,Cuba,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,978.3,397.1,167.5,127.2,177.0,606.7,749.7,685.2,611.7,645.3,571.7,530.6,518.0,508.4,471.8,241.0,266.1,103.5,87.7,11.7,22.1,14.3,15.2,12.2, , , 
196,Cyprus,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,266.4,294.7,348.4,521.2,212.0,240.5,227.8,198.0,206.4,158.7,294.0,165.5,135.9,74.1, , , , , , , , , , , , , 
203,Czech Republic,753,Y,Consumption of all Ozone-Depleting Substances in ODP metric tons,,6.5,,102.6,555.7,441.5,55.4,23.2,14.3,-63.5,-68.1,10.6,146.2,93.4, , , , , , , , , , , , , 
