CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,
4,Afghanistan,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,380.0,380.0,380.0,,,,,,,177.9,141.2,94.5,55.2,40.0,27.0,0.0,0.0,0.0,0.0, , , 
8,Albania,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,40.3,40.1,41.9,46.5,53.1,61.9,68.8,49.9,35.0,36.6,14.3,15.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0, , , 
12,Algeria,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,2146.4,2226.0,2292.2,2292.2,1774.2,1549.2,1502.2,1474.6,1021.8,1761.8,1761.8,1045.0,859.0,302.6,200.0,149.6,110.9,0.0,0.0,0.0,0.0, , , 
16,American Samoa,649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,Andorra,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0, , , 
24,Angola,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,114.8,114.8,114.8,115.9,,107.0,114.8,105.0,104.2,75.6,52.0,42.1,17.0,9.7,16.0,0.0,0.0,0.0,0.0, , , 
660,Anguilla,649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,Antigua and Barbuda,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,421.3,427.8,429.0,426.1,12.4,11.5,10.3,10.3,26.5,-2.0,5.0,3.1,3.7,1.5,1.9,1.1,1.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0, , , 
32,Argentina,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,2138.2,2796.8,4306.0,1805.9,4569.4,6365.9,4202.1,3523.7,3546.3,4316.3,2396.7,3293.1,2139.2,2255.2,2211.6,1675.5,1654.2,529.0,50.9,126.6,0.0,28.3,0.0,0.0, , , 
51,Armenia,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,0.0,,,,201.8,196.5,191.2,185.9,9.0,25.0,162.7,172.7,172.7,110.7,84.0,59.0,25.0,13.6,18.1,0.0,0.0,0.0,0.0, , , 
533,Aruba,649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
36,Australia,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,7416.4,6811.7,5556.0,3409.3,3894.9,2584.7,234.2,183.9,195.1,274.1,6.5,6.0,9.8,1.1,-61.8,-51.4,-80.0,-55.0,-42.0,-46.4,-23.9,-30.1,-15.2,-7.5, , , 
40,Austria,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,1801.9,1738.3,1530.5,558.9,922.5,,,,,,,,,,,,,,,,,,,, , , 
31,Azerbaijan,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,,456.5,201.2,152.2,99.9,87.8,52.0,12.0,10.2,15.1,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , 
44,Bahamas,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,0.7,65.8,68.1,69.9,72.0,52.7,54.6,53.8,65.9,63.0,55.4,29.6,18.8,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , 
48,Bahrain,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,107.0,85.3,118.6,111.1,118.1,121.9,137.2,147.2,149.5,129.0,113.1,106.0,94.6,85.8,64.8,58.7,32.4,14.7,11.7,10.5,0.0,0.0,0.0,0.0, , , 
