CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,
4,Afghanistan,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,, ,, ,, , , , , , , 
8,Albania,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,Algeria,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,American Samoa,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,Andorra,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
24,Angola,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,86.5, , , , ,86.5, ,76.2, ,65.8, , , , , , , 
660,Anguilla,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,Antigua and Barbuda,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
32,Argentina,710,Y,"Slum population as percentage of urban, percentage",30.5, , , , ,31.7, , , , ,32.9, , , , ,26.2, ,23.5, ,20.8, , , , , , , 
51,Armenia,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,, ,, ,, , , , , , , 
533,Aruba,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
36,Australia,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
40,Austria,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Azerbaijan,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
44,Bahamas,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
48,Bahrain,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
50,Bangladesh,710,Y,"Slum population as percentage of urban, percentage",87.3, , , , ,84.7, , , , ,77.8, , , , ,70.8, ,66.2, ,61.6, , , , , , , 
52,Barbados,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
112,Belarus,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
56,Belgium,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
84,Belize,710,Y,"Slum population as percentage of urban, percentage",, , , , ,, , , , ,, , , , ,, ,18.7, ,, , , , , , , 
204,Benin,710,Y,"Slum population as percentage of urban, percentage",79.3, , , , ,76.8, , , , ,74.3, , , , ,71.8, ,70.8, ,69.8, , , , , , , 
60,Bermuda,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
64,Bhutan,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
68,Bolivia,710,Y,"Slum population as percentage of urban, percentage",62.2, , , , ,58.2, , , , ,54.3, , , , ,50.4, ,48.8, ,47.3, , , , , , , 
70,Bosnia and Herzegovina,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
72,Botswana,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
76,Brazil,710,Y,"Slum population as percentage of urban, percentage",36.7, , , , ,34.1, , , , ,31.5, , , , ,29.0, ,28.0, ,26.9, , , , , , , 
92,British Virgin Islands,710,Y,"Slum population as percentage of urban, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , 
