CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
4,Afghanistan,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",37.0,46.0,54.0,60.0,65.0,69.0,71.0,72.0,72.0,71.0,68.0,64.0,59.0,54.0,50.0,46.0,44.0,42.0,41.0,41.0,41.0,41.0,42.0,42.0
4,Afghanistan,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",24.0,29.0,34.0,38.0,41.0,45.0,48.0,51.0,51.0,50.0,48.0,45.0,42.0,38.0,35.0,32.0,30.0,29.0,28.0,28.0,28.0,28.0,28.0,27.0
4,Afghanistan,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",54.0,61.0,68.0,73.0,79.0,82.0,85.0,85.0,85.0,84.0,83.0,78.0,72.0,66.0,60.0,56.0,53.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0
8,Albania,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",1.8,1.7,1.1,1.5,1.8,0.7,1.5,0.8,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
8,Albania,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",1.4,1.3,0.8,1.1,1.3,0.6,1.2,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8,Albania,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",2.3,2.1,1.5,1.9,2.3,0.8,1.8,1.1,1.2,1.0,1.1,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
12,Algeria,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",11.0,10.0,10.0,10.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0
12,Algeria,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",5.9,6.3,6.5,6.6,6.6,7.1,8.0,8.2,8.1,8.2,8.4,8.3,8.4,8.2,7.9,8.0,8.6,8.9,8.9,8.7,8.2,8.1,6.8,5.6
12,Algeria,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",15.0,15.0,14.0,14.0,16.0,16.0,16.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,20.0,20.0,20.0,20.0,21.0,20.0,21.0
16,American Samoa,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",6.1,0.3,0.3,1.6,1.9,2.8,3.5,4.2,0.9,1.8,0.7,0.6,0.2,0.3,2.1,2.8,0.9,0.3,0.3,0.7,0.7,0.8,0.6,0.6
16,American Samoa,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",3.7,0.1,0.1,0.8,1.1,1.7,2.2,2.7,0.4,1.0,0.2,0.2,0.0,0.1,1.2,1.7,0.3,0.1,0.1,0.2,0.2,0.3,0.2,0.2
16,American Samoa,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",9.1,0.7,0.6,2.8,3.1,4.2,5.2,6.0,1.7,2.9,1.4,1.2,0.4,0.9,3.3,4.4,1.8,0.6,0.6,1.5,1.5,1.6,1.4,1.4
20,Andorra,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",3.9,5.1,2.9,1.0,6.5,4.3,2.8,5.4,0.6,0.9,2.9,1.9,0.4,2.5,0.4,2.0,3.4,0.3,0.3,1.7,1.3,0.2,2.7,0.3
20,Andorra,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",1.4,2.5,1.0,0.2,3.8,2.3,1.2,3.3,0.1,0.3,1.7,1.0,0.1,1.5,0.1,1.2,2.2,0.1,0.1,1.0,0.7,0.0,1.7,0.1
20,Andorra,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",7.5,8.7,5.9,2.5,9.9,7.1,5.1,8.1,1.5,1.8,4.5,3.2,0.9,3.9,0.9,3.1,4.9,0.7,0.6,2.7,2.1,0.6,3.8,0.7
24,Angola,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",47.0,52.0,57.0,60.0,62.0,63.0,62.0,59.0,55.0,50.0,45.0,39.0,33.0,28.0,24.0,22.0,22.0,24.0,26.0,28.0,30.0,32.0,32.0,32.0
24,Angola,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",32.0,36.0,39.0,41.0,43.0,44.0,43.0,41.0,38.0,35.0,30.0,25.0,21.0,17.0,14.0,13.0,13.0,14.0,16.0,18.0,19.0,19.0,18.0,16.0
24,Angola,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",62.0,67.0,71.0,73.0,75.0,75.0,75.0,73.0,70.0,64.0,58.0,51.0,44.0,38.0,33.0,32.0,32.0,35.0,39.0,42.0,45.0,46.0,46.0,46.0
660,Anguilla,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,Anguilla,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,Anguilla,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Antigua and Barbuda,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",3.9,0.0,1.8,0.0,1.8,0.0,0.6,1.1,1.7,1.5,1.8,1.5,1.6,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.4,1.4,1.4,1.4
28,Antigua and Barbuda,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",3.5,0.0,1.7,0.0,1.6,0.0,0.5,1.0,1.5,1.4,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2
28,Antigua and Barbuda,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",4.3,0.0,1.9,0.0,2.0,0.0,0.6,1.3,1.9,1.6,2.2,1.7,1.8,1.7,1.5,1.4,1.6,1.7,1.7,1.7,1.5,1.5,1.5,1.5
32,Argentina,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",4.2,3.8,3.5,3.6,3.2,3.3,3.0,3.1,2.8,2.6,2.3,2.2,2.3,2.1,1.9,1.9,1.8,1.8,1.6,1.6,1.4,1.6,1.5,1.4
32,Argentina,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",4.2,3.7,3.5,3.6,3.1,3.3,3.0,3.0,2.7,2.5,2.2,2.1,2.2,2.0,1.8,1.8,1.8,1.7,1.5,1.5,1.3,1.5,1.4,1.3
32,Argentina,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",4.3,3.8,3.6,3.7,3.2,3.4,3.1,3.2,2.8,2.7,2.4,2.3,2.4,2.2,2.0,2.0,1.9,1.9,1.7,1.7,1.4,1.7,1.5,1.4
51,Armenia,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",4.4,4.4,4.9,5.0,5.1,6.0,5.6,6.6,6.1,6.6,6.3,6.0,8.6,8.0,8.2,8.5,8.7,8.7,8.6,7.3,7.1,5.3,5.7,5.7
51,Armenia,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",3.2,3.3,3.9,4.0,4.1,4.9,4.7,5.7,5.3,5.8,5.6,5.2,6.4,5.9,6.2,6.5,6.7,6.7,6.7,5.7,5.9,4.4,4.8,4.8
51,Armenia,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",5.8,5.5,6.0,6.2,6.3,7.2,6.5,7.7,6.9,7.5,7.0,6.8,11.0,10.0,11.0,11.0,11.0,11.0,11.0,9.1,8.3,6.2,6.7,6.7
533,Aruba,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.3,1.5,1.5,1.5,1.4,0.4,0.4,7.9,0.5
533,Aruba,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.7,0.7,0.7,0.6,0.1,0.1,5.3,0.1
533,Aruba,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",2.3,2.3,2.3,2.4,2.4,2.4,2.3,2.3,2.4,2.3,2.3,2.3,2.3,2.2,2.3,2.4,2.6,2.6,2.6,2.5,0.9,1.0,11.0,1.1
36,Australia,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
36,Australia,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
36,Australia,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
40,Austria,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",1.9,1.8,1.7,1.5,1.3,1.0,1.0,1.0,1.1,1.0,0.9,0.7,0.8,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.4,0.5,0.3,0.3
40,Austria,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",1.8,1.8,1.7,1.5,1.3,0.9,1.0,1.0,1.1,1.0,0.9,0.7,0.8,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.4,0.5,0.3,0.3
40,Austria,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",1.9,1.8,1.7,1.5,1.4,1.0,1.0,1.0,1.2,1.0,0.9,0.7,0.8,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.4,0.5,0.3,0.4
31,Azerbaijan,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",11.0,11.0,14.0,15.0,17.0,23.0,23.0,22.0,21.0,24.0,22.0,20.0,18.0,17.0,14.0,9.3,6.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9
31,Azerbaijan,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",8.5,8.2,11.0,12.0,13.0,17.0,17.0,17.0,16.0,18.0,17.0,16.0,14.0,13.0,11.0,7.8,5.3,3.5,3.5,3.5,3.5,3.5,3.5,3.5
31,Azerbaijan,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",15.0,14.0,18.0,19.0,22.0,29.0,30.0,28.0,26.0,30.0,27.0,25.0,23.0,22.0,18.0,11.0,6.7,4.2,4.2,4.2,4.2,4.2,4.2,4.2
44,Bahamas,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",6.7,6.0,5.4,5.5,4.1,4.4,3.2,1.4,3.9,3.1,2.2,1.4,1.4,1.1,2.1,1.2,0.7,1.0,1.3,0.6,0.6,0.6,0.5,0.5
44,Bahamas,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",6.7,5.9,5.3,5.3,4.0,4.3,3.0,1.4,3.8,2.9,2.1,1.3,1.3,1.0,2.0,1.2,0.6,0.9,1.2,0.6,0.6,0.5,0.5,0.4
44,Bahamas,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",6.8,6.1,5.4,5.6,4.1,4.4,3.4,1.5,3.9,3.3,2.3,1.4,1.4,1.1,2.2,1.2,0.7,1.1,1.4,0.6,0.6,0.7,0.6,0.6
48,Bahrain,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",5.5,4.9,4.4,3.9,3.4,3.1,2.7,1.1,2.1,2.3,2.5,1.8,1.5,0.3,1.1,1.1,0.5,0.9,0.7,0.7,0.7,0.7,0.7,0.7
48,Bahrain,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",5.4,4.8,4.2,3.7,3.3,2.9,2.6,0.9,1.8,1.8,2.2,1.5,1.4,0.3,1.0,1.0,0.5,0.8,0.6,0.6,0.6,0.6,0.6,0.6
48,Bahrain,794,N,"Tuberculosis death rate per year per 100,000 population (upper bound)",5.7,5.1,4.5,4.0,3.6,3.2,2.9,1.2,2.5,2.8,3.0,2.1,1.7,0.3,1.2,1.2,0.6,1.0,0.7,0.8,0.8,0.8,0.8,0.8
50,Bangladesh,647,Y,"Tuberculosis death rate per year per 100,000 population (mid-point)",80.0,80.0,79.0,79.0,78.0,78.0,78.0,77.0,76.0,75.0,74.0,72.0,70.0,68.0,65.0,63.0,61.0,59.0,57.0,55.0,54.0,53.0,52.0,51.0
50,Bangladesh,793,N,"Tuberculosis death rate per year per 100,000 population (lower bound)",53.0,55.0,56.0,55.0,55.0,56.0,57.0,57.0,56.0,55.0,53.0,52.0,50.0,48.0,46.0,44.0,42.0,41.0,40.0,39.0,37.0,36.0,34.0,33.0
